company,employees,trade,naics,authority,state,city,address,zip,penalty,citations,violation_types,issued,activity_nr,osha_url
FELIX RUIS,2,Construction_General,238990,Federal OSHA,TX,RICHMOND,3231 HARVEST BOUNTY DRIVE,77406,2270.0,1,Serious,2026-04-13T00:00:00,348836362,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348836362
HTX CONTRACTOR GROUP INC,2,Construction_General,238130,Federal OSHA,TX,PORTER,"30�08'18.5""N 95�17'26.8""W",77365,3547.0,1,Serious,2026-04-08T00:00:00,348773490,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348773490
LUCIANO ALVARADO,2,Construction_General,238130,Federal OSHA,TX,SPRING,5633 SPRING STUBNER ROAD,77388,2838.0,1,Serious,2026-04-03T00:00:00,348694332,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348694332
"AD DISPLAY SIGN SYSTEMS, INC.",4,Construction_General,238990,Federal OSHA,TX,SPRING,21115 KUYKENDAHL RD.,77379,3973.0,2,Serious,2026-03-25T00:00:00,348678368,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348678368
VALOY GARCIA,4,Construction_General,238350,Federal OSHA,TX,LEAGUE CITY,6930 MINERAL WELLS WAY,77574,7378.0,3,Serious,2026-03-24T00:00:00,348787995,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348787995
"SONNY STEEL ERECTOR'S, INC.",5,Construction_General,238190,Federal OSHA,TX,ROSHARON,25151 SH 288,77583,19863.0,1,Repeat,2026-03-23T00:00:00,348790270,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790270
"JTM CONSTRUCTION, LLC",10,Construction_General,237110,Federal OSHA,TX,MANVEL,7212 LARGE AVE,77578,6620.0,4,Serious,2026-03-23T00:00:00,348790155,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790155
CRAIN GROUP LLC,2,Construction_General,236220,Federal OSHA,TX,MANVEL,7212 LARGE AVE,77578,271.0,1,Other,2026-03-19T00:00:00,348790015,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790015
HENRY JALAL RIVERA,5,Construction_General,238130,Federal OSHA,TX,LEAGUE CITY,906 HILLTOP VIEW LANE,77574,6242.0,2,Serious,2026-03-17T00:00:00,348790445,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348790445
CARLOS MANUEL MEJIA GALDANEZ,4,Construction_General,238130,Federal OSHA,TX,HOUSTON,5821 WINSOME LANE,77057,14190.0,5,Serious/Other,2026-03-02T00:00:00,348686924,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686924
LANDA BROS CONSTRUCTION LLC,4,Construction_General,238130,Federal OSHA,TX,HOUSTON,5821 WINSOME LANE,77057,3972.0,1,Serious,2026-03-02T00:00:00,348686908,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348686908
MOSES LEON,4,Construction_General,238130,Federal OSHA,TX,IOWA COLONY,11319 SOUTHWOOD,77583,2838.0,1,Serious,2026-03-02T00:00:00,348737941,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348737941
"TOTAL SITE, INC.",12,Construction_General,237110,Federal OSHA,TX,SHENANDOAH,201 DAVID VETTER BLVD.,77385,12770.0,3,Serious/Other,2026-02-24T00:00:00,348502535,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348502535
VILLAGOMEZ JR. PAINTING CO.,10,Construction_General,238320,Federal OSHA,TX,HOUSTON,3320 DEL MONTE DR.,77019,2554.0,2,Serious/Other,2026-02-20T00:00:00,348744830,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348744830
"PYRAMID WATERPROOFING, INC.",40,Construction_General,238390,Federal OSHA,TX,HOUSTON,122 BERRY RD,77022,2026.0,2,Other,2026-02-18T00:00:00,348711607,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348711607
HECTOR AMADO,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,2231 VARGAS STREET,77316,5676.0,2,Serious,2026-02-17T00:00:00,348503574,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503574
EMMANUEL RODRIGUEZ,3,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,1712 EL PINO STREET,77316,2838.0,1,Serious,2026-02-17T00:00:00,348503624,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503624
MP COMMUNICATIONS,2,Construction_General,237130,Federal OSHA,TX,HUNTSVILLE,1 FINANCIAL PLAZA,77340,2838.0,1,Serious,2026-02-06T00:00:00,348493693,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348493693
TORRES & SON CONSTRUCTION,4,Construction_General,238130,Federal OSHA,TX,CONROE,"30.366131, -95.484057",77303,2383.0,1,Serious,2026-02-05T00:00:00,348486648,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348486648
"MEPA CONSTRUCTION, LLC",8,Construction_General,238310,Federal OSHA,TX,SPRING,22426 KUYKENDAHL RD,77389,5676.0,2,Serious,2026-01-30T00:00:00,348514738,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348514738
EMMANUEL RODRIGUEZ,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,26443 N WAYLAND CHASE,77316,12059.0,3,Serious,2026-01-28T00:00:00,348509217,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348509217
RUFINO RUIZ-SANTIBANEZ,2,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,10243 BURTON PATH,77316,2979.0,1,Serious,2026-01-23T00:00:00,348503434,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348503434
CARLOS AGUILAR,4,Construction_General,238130,Federal OSHA,TX,CONROE,17835 AILE PIERRE PASS,77302,11349.0,3,Serious,2026-01-22T00:00:00,348485244,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348485244
ALBERTO HERNANDEZ-MARTINEZ,7,Construction_General,238170,Federal OSHA,TX,CONROE,106 NECHES NOOK CT.,77304,8512.0,3,Repeat/Serious,2026-01-22T00:00:00,348511445,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348511445
CARLOS AGUILAR,4,Construction_General,238130,Federal OSHA,TX,CONROE,17843 AILE PIERRE PASS,77302,3405.0,1,Serious,2026-01-22T00:00:00,348485301,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348485301
DOMINION CONSTRUCTION MANAGEMENT LLC,5,Construction_General,238130,Federal OSHA,TX,MONTGOMERY,21105 W FM 1097,77356,5107.0,1,Repeat,2025-12-15T00:00:00,348516626,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348516626
RUFINO RUIZ-SANTIBANEZ,3,Construction_General,238130,Federal OSHA,TX,WILLIS,969 GARDEN PATH DRIVE,77378,2128.0,1,Serious,2025-12-15T00:00:00,348510363,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348510363
EMILIO MORALES,4,Construction_General,238130,Federal OSHA,TX,ARCOLA,5227 CELESTIAL COURT,77583,2838.0,1,Serious,2025-09-29T00:00:00,348480583,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348480583
J & G CONSTRUCTION,1,Construction_General,238130,Federal OSHA,TX,ARCOLA,5227 CELESTIAL COURT,77583,2838.0,1,Serious,2025-09-29T00:00:00,348480682,https://www.osha.gov/ords/imis/establishment.inspection_detail?id=348480682
